"Topic", "Question", "Option A", "Option B", "Option C", "Option D", "Correct Answer"
"MergeSort", "After sorting `[8, 3]` to `[3, 8]` and `[1, 6]` to `[1, 6]`, what is the result of merging `[3, 8]` and `[1, 6]`?", "A. `[1, 3, 6, 8]`", "B. `[3, 1, 8, 6]`", "C. `[8, 6, 3, 1]`", "D. `[1, 6, 3, 8]`", "A"
"QuickSort", "What algorithmic paradigm does Quick Sort fall under?", "A. Greedy Algorithm", "B. Dynamic Programming", "C. Divide and Conquer", "D. Brute Force", "C"
"QuickSort", "What is the primary operation that divides the array into sub-problems in Quick Sort?", "A. Merging", "B. Partitioning", "C. Swapping", "D. Insertion", "B"
"QuickSort", "What is the element chosen to divide the array in Quick Sort called?", "A. Divider", "B. Separator", "C. Pivot", "D. Splitter", "C"
"QuickSort", "In the partition step of Quick Sort, elements smaller than the pivot are moved to one side, and elements larger than the pivot are moved to the other. True or False?", "A. True", "B. False", "A"
"QuickSort", "What is the average-case time complexity of Quick Sort?", "A. O(N)", "B. O(N log N)", "C. O(N^2)", "D. O(log N)", "B"
"QuickSort", "What is the worst-case time complexity of Quick Sort?", "A. O(N log N)", "B. O(N^2)", "C. O(N)", "D. O(log N)", "B"
"QuickSort", "When does the worst-case time complexity of Quick Sort occur?", "A. When the array is randomly ordered.", "B. When the pivot repeatedly results in highly unbalanced partitions (e.g., already sorted or reverse sorted array, or all elements are same).", "C. When the array has many duplicate elements.", "D. When the array size is small.", "B"
"QuickSort", "What is the space complexity of Quick Sort in the best/average case (due to recursion stack)?", "A. O(1)", "B. O(log N)", "C. O(N)", "D. O(N log N)", "B"
"QuickSort", "What is the space complexity of Quick Sort in the worst case (due to recursion stack)?", "A. O(1)", "B. O(log N)", "C. O(N)", "D. O(N log N)", "C"
"QuickSort", "Is Quick Sort a stable sorting algorithm?", "A. Yes", "B. No", "C. Sometimes", "D. Only for small arrays", "B"
"QuickSort", "What does 'unstable' mean for a sorting algorithm?", "A. Its performance varies greatly.", "B. Elements with equal values may not maintain their relative order in the sorted output.", "C. It uses a variable amount of memory.", "D. It crashes frequently.", "B"
"QuickSort", "What are common strategies for choosing a pivot in Quick Sort to avoid worst-case scenarios?", "A. Always pick the first element.", "B. Always pick the last element.", "C. Pick a random element, or median-of-three pivot selection.", "D. Always pick the middle element.", "C"
"QuickSort", "What is the purpose of the 'median-of-three' pivot selection?", "A. To always pick the exact median.", "B. To make the partition more balanced and reduce the chance of worst-case behavior.", "C. To improve space complexity.", "D. To make the algorithm stable.", "B"
"QuickSort", "Which partitioning scheme moves elements smaller than the pivot to the left and larger to the right, and the pivot ends up in its final sorted position?", "A. Lomuto partition scheme", "B. Hoare partition scheme", "C. Random partition scheme", "D. Merge partition scheme", "A"
"QuickSort", "Which partitioning scheme is generally more efficient in terms of swaps, but the pivot's final position is not guaranteed?", "A. Lomuto partition scheme", "B. Hoare partition scheme", "C. Random partition scheme", "D. Merge partition scheme", "B"
"QuickSort", "Quick Sort is typically implemented using:", "A. Iteration only.", "B. Recursion.", "C. A combination of iteration and direct loops.", "D. Hash tables.", "B"
"QuickSort", "What is the recurrence relation that describes the average-case time complexity of Quick Sort?", "A. T(N) = T(N-1) + O(1)", "B. T(N) = 2T(N/2) + O(N)", "C. T(N) = T(N-1) + O(N)", "D. T(N) = T(N/2) + T(N/2) + O(N) (approximately for average case)", "D"
"QuickSort", "What is an advantage of Quick Sort over Merge Sort in terms of space?", "A. Quick Sort is always stable.", "B. Quick Sort is an in-place sorting algorithm (in its common implementations), requiring O(log N) or O(N) stack space.", "C. Quick Sort has a guaranteed O(N log N) worst-case time.", "D. Quick Sort is easier to implement for linked lists.", "B"
"QuickSort", "What is a disadvantage of Quick Sort compared to Merge Sort?", "A. Higher average-case time complexity.", "B. Lower worst-case time complexity.", "C. Not a stable sort and has O(N^2) worst-case time complexity.", "D. Requires O(N) auxiliary space.", "C"
"QuickSort", "When is Quick Sort a good choice of sorting algorithm?", "A. When worst-case performance guarantees are critical.", "B. When in-place sorting and good average-case performance are desired.", "C. When the data is highly correlated.", "D. When the input size is very small.", "B"
"QuickSort", "How does Quick Sort handle arrays that are already sorted?", "A. It sorts them in O(N log N) time.", "B. It may lead to its worst-case O(N^2) performance if the first/last element is always chosen as pivot.", "C. It becomes O(N).", "D. It swaps elements in place.", "B"
"QuickSort", "For very small subarrays, some Quick Sort implementations switch to Insertion Sort. Why?", "A. Insertion Sort has better worst-case complexity for small inputs.", "B. Insertion Sort has lower constant factors for small inputs, making it faster due to less recursion overhead.", "C. Insertion Sort uses less memory.", "D. Insertion Sort is stable.", "B"
"QuickSort", "What is tail recursion optimization in the context of Quick Sort?", "A. A technique to eliminate the need for a pivot.", "B. A technique to reduce the recursion depth (and thus stack space) by iteratively sorting the larger sub-array and recursively sorting the smaller one.", "C. A method to make Quick Sort stable.", "D. A way to change the pivot selection strategy.", "B"
"QuickSort", "Does Quick Sort typically perform well on data that contains many duplicate elements?", "A. Yes, it's unaffected by duplicates.", "B. It can degrade to O(N^2) if duplicates are handled poorly (e.g., all elements are equal to pivot).", "C. It becomes O(N log N) faster.", "D. It removes duplicates automatically.", "B"
"QuickSort", "What is 3-way partitioning (Dijkstra's 3-way partition) used for in Quick Sort?", "A. To handle 3 pivots simultaneously.", "B. To efficiently handle arrays with many duplicate elements by partitioning into 'less than pivot', 'equal to pivot', and 'greater than pivot' regions.", "C. To divide the array into three equal parts.", "D. To sort three arrays at once.", "B"
"QuickSort", "Quick Sort is a comparison sort. True or False?", "A. True", "B. False", "A"
"QuickSort", "What is the typical advantage of Quick Sort over Merge Sort in competitive programming?", "A. It's stable.", "B. It uses less memory due to its in-place nature (lower constant factor for auxiliary space).", "C. Its worst-case is better.", "D. It is easier to parallelize.", "B"
"QuickSort", "Which of the following describes the 'Conquer' step in Quick Sort?", "A. Dividing the array around a pivot.", "B. Recursively sorting the two sub-arrays.", "C. Combining the sorted sub-arrays.", "D. Choosing the pivot element.", "B"
"QuickSort", "Which of the following describes the 'Combine' step in Quick Sort?", "A. Merging sorted sub-arrays.", "B. There is no explicit 'combine' step; the sorted sub-arrays directly form the sorted array.", "C. Finding the pivot.", "D. Swapping elements.", "B"
"QuickSort", "If an array has 7 elements, what is the maximum possible recursion depth for Quick Sort (worst case)?", "A. log N (approx 3)", "B. N (approx 7)", "C. N^2", "D. 1", "B"
"QuickSort", "The 'tail recursion' in Quick Sort occurs at which part of the recursive calls?", "A. Before the pivot selection.", "B. After processing one sub-array, the other sub-array call can be optimized.", "C. Only in the base case.", "D. Never in Quick Sort.", "B"
"QuickSort", "What happens if all elements in the array are identical when using a standard Quick Sort with Lomuto partitioning (pivot as last element)?", "A. It runs in O(N log N).", "B. It runs in O(N^2) as the partition will always result in one sub-array of size N-1 and one of size 0.", "C. It performs only 1 comparison.", "D. It is stable.", "B"
"QuickSort", "What is a major reason why Quick Sort is popular in practice?", "A. Its guaranteed worst-case performance.", "B. Its high constant factor in average-case performance.", "C. Its in-place nature and good average-case performance often make it faster than other O(N log N) sorts.", "D. It works well with linked lists.", "C"
"QuickSort", "Can Quick Sort be used for external sorting?", "A. Yes, it's ideal for external sorting.", "B. No, its in-place nature and random access requirements make it less suitable than Merge Sort for external sorting.", "C. Only if memory is abundant.", "D. Only for small files.", "B"
"QuickSort", "The `left` and `right` pointers in Hoare's partition scheme move towards each other until they cross. True or False?", "A. True", "B. False", "A"
"QuickSort", "What type of partitioning is typically preferred for arrays with many duplicate values?", "A. Lomuto Partitioning", "B. Hoare Partitioning", "C. 3-Way Partitioning", "D. Single-sided Partitioning", "C"
"QuickSort", "If an array `[5, 2, 8, 1, 9]` uses 5 as the pivot (Lomuto, last element), what's the state of the array after the first partition, before recursive calls?", "A. `[1, 2, 5, 8, 9]`", "B. `[2, 1, 5, 8, 9]`", "C. `[2, 1, 5, 9, 8]`", "D. `[1, 2, 8, 9, 5]`", "B"
"QuickSort", "What is the main idea behind randomized Quick Sort?", "A. To randomize the input array before sorting.", "B. To randomly choose the pivot element to achieve average-case O(N log N) behavior with high probability.", "C. To randomize the comparison function.", "D. To randomize the sub-array sizes.", "B"
"QuickSort", "Why is randomization often used in Quick Sort in practical implementations?", "A. To guarantee the worst-case scenario.", "B. To make it stable.", "C. To reduce the probability of encountering the worst-case O(N^2) time complexity, especially with hostile inputs.", "D. To reduce space complexity.", "C"
"QuickSort", "The base case for Quick Sort recursion is when the sub-array size becomes:", "A. 0 or 1 (or a small constant, switching to insertion sort).", "B. N/2.", "C. N.", "D. log N.", "A"
"QuickSort", "What happens to the pivot element after the partition step?", "A. It is discarded.", "B. It is moved to the beginning of the array.", "C. It is placed in its final sorted position.", "D. It is swapped with the smallest element.", "C"
"QuickSort", "Is Quick Sort always faster than Merge Sort?", "A. Yes, always.", "B. No, Merge Sort has better worst-case guarantee, and for certain data distributions or hardware, Merge Sort might be faster.", "C. Only for small arrays.", "D. Only for random data.", "B"
"QuickSort", "Quick Sort is generally preferred over Merge Sort when _________ is a critical constraint.", "A. Time complexity in worst case.", "B. Space complexity (auxiliary space).", "C. Stability of the sort.", "D. Parallelizability.", "B"
"QuickSort", "What is an 'in-place' sorting algorithm?", "A. An algorithm that sorts elements without using any additional memory beyond a constant amount (or logarithmic for stack space).", "B. An algorithm that sorts elements by copying them to a new array.", "C. An algorithm that sorts elements by comparing them in place.", "D. An algorithm that sorts elements by rearranging them on a tape drive.", "A"
"QuickSort", "What is the primary function of the `partition` method in Quick Sort?", "A. To sort the entire array.", "B. To rearrange the elements such that all elements smaller than the pivot come before it, and all larger elements come after it.", "C. To find the median element.", "D. To merge two sorted subarrays.", "B"
"QuickSort", "If the pivot is chosen poorly and the array is always split into sub-arrays of size `N-1` and `0`, the recurrence relation becomes:", "A. T(N) = 2T(N/2) + O(N)", "B. T(N) = T(N-1) + O(N)", "C. T(N) = T(N-1) + T(0) + O(N)", "D. Both B and C represent the worst-case scenario.", "D"
"QuickSort", "Compared to Heap Sort, Quick Sort is generally:", "A. Slower on average but better worst-case.", "B. Faster on average and uses less memory (in practice).", "C. Always faster but uses more memory.", "D. Always slower and uses more memory.", "B"
"QuickSort", "The `std::sort` function in C++ is often implemented as an introsort, which is a hybrid algorithm. What does it typically combine?", "A. Quick Sort, Merge Sort, and Heap Sort.", "B. Quick Sort, Insertion Sort, and Heap Sort.", "C. Merge Sort, Insertion Sort, and Bubble Sort.", "D. Quick Sort, Counting Sort, and Radix Sort.", "B"
"QuickSort", "In Quick Sort, if `low >= high` for a sub-array, what does it signify?", "A. The sub-array is sorted.", "B. The sub-array has 0 or 1 element, acting as a base case for recursion.", "C. An error has occurred.", "D. The pivot is at its correct position.", "B"
"QuickSort", "Which of the following is true regarding Quick Sort?", "A. It is always faster than Merge Sort.", "B. It is generally faster in practice due to better cache performance and lower constant factors.", "C. It is typically slower than Bubble Sort for large inputs.", "D. It requires a linked list as input.", "B"
"BinarySearch", "What is the primary requirement for an array to be searchable using Binary Search?", "A. It must contain only unique elements.", "B. It must be sorted.", "C. It must be unsorted.", "D. It must be a linked list.", "B"
"BinarySearch", "What algorithmic paradigm does Binary Search fall under?", "A. Greedy Algorithm", "B. Dynamic Programming", "C. Divide and Conquer", "D. Brute Force", "C"
"BinarySearch", "What is the time complexity of Binary Search in the worst case?", "A. O(N)", "B. O(N log N)", "C. O(log N)", "D. O(1)", "C"
"BinarySearch", "What is the time complexity of Binary Search in the best case?", "A. O(N)", "B. O(log N)", "C. O(1)", "D. O(N log N)", "C"
"BinarySearch", "What is the space complexity of iterative Binary Search?", "A. O(N)", "B. O(log N)", "C. O(1)", "D. O(N log N)", "C"
"BinarySearch", "What is the space complexity of recursive Binary Search?", "A. O(1)", "B. O(log N) (due to recursion stack)", "C. O(N)", "D. O(N log N)", "B"
"BinarySearch", "If an array has `N` elements, how many comparisons does Binary Search make in the worst case?", "A. `N`", "B. `log2(N)` (approximately)", "C. `N/2`", "D. `1`", "B"
"BinarySearch", "In Binary Search, after each comparison, the search space is approximately reduced by what factor?", "A. `1/4`", "B. `1/2`", "C. `1/3`", "D. `1/N`", "B"
"BinarySearch", "What are the common variables used to define the search space in Binary Search?", "A. `start` and `end` (or `low` and `high`).", "B. `i` and `j`.", "C. `min` and `max`.", "D. `left` and `right` (or `first` and `last`).", "A"
"BinarySearch", "How is the `mid` element calculated in Binary Search?", "A. `(start + end) / 2`", "B. `start + (end - start) / 2`", "C. `(start + end + 1) / 2`", "D. Both A and B are common, with B preferred to avoid overflow.", "D"
"BinarySearch", "If the `target` element is found at `mid`, what happens?", "A. The search continues in the left half.", "B. The search continues in the right half.", "C. The index `mid` is returned, and the search terminates.", "D. The array is sorted.", "C"
"BinarySearch", "If the `target` element is less than `array[mid]`, where does the search continue?", "A. In the left half (`end = mid - 1`).", "B. In the right half (`start = mid + 1`).", "C. In the whole array again.", "D. The target is not in the array.", "A"
"BinarySearch", "If the `target` element is greater than `array[mid]`, where does the search continue?", "A. In the left half (`end = mid - 1`).", "B. In the right half (`start = mid + 1`).", "C. In the whole array again.", "D. The target is not in the array.", "B"
"BinarySearch", "What is the condition that typically terminates the Binary Search loop when the element is not found?", "A. `start == end`", "B. `start > end`", "C. `mid == 0`", "D. `array[mid] == target`", "B"
"BinarySearch", "Which of the following data structures is suitable for Binary Search?", "A. Unsorted Linked List", "B. Sorted Array", "C. Hash Table", "D. Stack", "B"
"BinarySearch", "Can Binary Search be used on a rotated sorted array (e.g., `[4, 5, 6, 7, 0, 1, 2]`)?", "A. No, it requires a fully sorted array.", "B. Yes, with modifications to handle the rotation point.", "C. Only if the rotation point is known.", "D. Only if the array size is small.", "B"
"BinarySearch", "Binary Search is effective for finding a specific element. What else can it be used for?", "A. Finding all prime numbers.", "B. Finding the first or last occurrence of an element in an array with duplicates.", "C. Sorting an array.", "D. Calculating Fibonacci numbers.", "B"
"BinarySearch", "Consider `[2, 5, 8, 12, 16, 23, 38, 56, 72]`. Search for 23. Initial `start=0, end=8`. `mid=(0+8)/2=4`. `array[4]=16`. Target > 16. What's the next search range?", "A. `start=0, end=3`", "B. `start=5, end=8`", "C. `start=4, end=8`", "D. `start=0, end=4`", "B"
"BinarySearch", "After `start=5, end=8`. `mid=(5+8)/2=6`. `array[6]=38`. Target < 38. What's the next search range?", "A. `start=5, end=5`", "B. `start=6, end=8`", "C. `start=5, end=6`", "D. `start=5, end=7`", "A"
"BinarySearch", "After `start=5, end=5`. `mid=(5+5)/2=5`. `array[5]=23`. Target == 23. What's the result?", "A. Not found.", "B. Index 5 found.", "C. Index 6 found.", "D. Search continues.", "B"
"BinarySearch", "What is the potential issue with `mid = (start + end) / 2` in some programming languages/environments for very large `start` and `end` values?", "A. Division by zero.", "B. Integer overflow if `start + end` exceeds the maximum integer value.", "C. Infinite loop.", "D. Incorrect result due to floating-point precision.", "B"
"BinarySearch", "When searching for the 'first occurrence' of an element in a sorted array with duplicates, if `array[mid] == target`, how should the search space be adjusted?", "A. `start = mid + 1` (continue search in right half).", "B. `end = mid - 1` (continue search in left half, possibly store `mid` as potential answer).", "C. Return `mid` immediately.", "D. Adjust `mid` to the right.", "B"
"BinarySearch", "When searching for the 'last occurrence' of an element in a sorted array with duplicates, if `array[mid] == target`, how should the search space be adjusted?", "A. `start = mid + 1` (continue search in right half, possibly store `mid` as potential answer).", "B. `end = mid - 1` (continue search in left half).", "C. Return `mid` immediately.", "D. Adjust `mid` to the left.", "A"
"BinarySearch", "If the array is empty, what should Binary Search typically return?", "A. 0", "B. -1 (or an indicator that element is not found).", "C. The element itself.", "D. An error.", "B"
"BinarySearch", "Can Binary Search be applied to a `std::set` or `std::map` in C++ directly by index?", "A. Yes, directly.", "B. No, these are tree-based structures, search is O(log N) but not by direct index access. `std::lower_bound` etc. work on sorted ranges, not on sets directly.", "C. Only if the set is small.", "D. Only for primitive types.", "B"
"BinarySearch", "Which standard library function in C++ implements a form of Binary Search to find the first element not less than a given value?", "A. `std::find`", "B. `std::sort`", "C. `std::lower_bound`", "D. `std::upper_bound`", "C"
"BinarySearch", "Which standard library function in C++ implements a form of Binary Search to find the first element greater than a given value?", "A. `std::find`", "B. `std::sort`", "C. `std::lower_bound`", "D. `std::upper_bound`", "D"
"BinarySearch", "Binary Search can be used on problems where the search space is monotonic (e.g., finding the square root of a number to a certain precision). True or False?", "A. True (This is often called 'Binary Search on the answer').", "B. False", "A"
"BinarySearch", "What is an advantage of Binary Search over Linear Search?", "A. Easier to implement.", "B. Works on unsorted arrays.", "C. Significantly faster for large datasets.", "D. Uses less memory.", "C"
"BinarySearch", "What is a disadvantage of Binary Search compared to Linear Search?", "A. Slower for small datasets.", "B. Requires the data to be sorted.", "C. Uses more memory.", "D. Only works for integers.", "B"
"BinarySearch", "If an array is `[1, 1, 1, 1, 1, 1, 1]`, and we search for 1, how many comparisons will Binary Search (standard implementation) make until it finds *a* 1?", "A. 1", "B. `log N`", "C. `N/2`", "D. `N`", "B"
"BinarySearch", "Does Binary Search always find the element if it's present in the array?", "A. Yes, if implemented correctly and the array is sorted.", "B. No, only if the array contains unique elements.", "C. Only if the target is at the beginning or end.", "D. Only if the target is prime.", "A"
"BinarySearch", "Binary search is typically implemented using arrays. Can it be effectively used on linked lists?", "A. Yes, directly.", "B. No, because random access to elements (needed for `mid`) is inefficient in linked lists (O(N) for each access).", "C. Only if the linked list is small.", "D. Only if the linked list is circular.", "B"
"BinarySearch", "When implementing Binary Search for integers, what is the best practice to avoid integer overflow when calculating `mid` for `long long` type?", "A. `mid = (start + end) / 2`", "B. `mid = start + (end - start) / 2`", "C. `mid = (start + end) >> 1`", "D. Both B and C are safe and commonly used.", "D"
"BinarySearch", "If an element is not found, what range does `[start, end]` usually represent after the loop terminates?", "A. `start` is the insertion point, `end` is `start - 1` (or vice-versa, depending on loop conditions).", "B. `start` and `end` are both -1.", "C. `start` and `end` are both N.", "D. The original range.", "A"
"BinarySearch", "Can Binary Search be used on floating-point numbers?", "A. No, only integers.", "B. Yes, but it typically requires iterating a fixed number of times for desired precision rather than relying on exact equality, or handling a small epsilon.", "C. Only if the numbers are positive.", "D. Only if they are perfectly sorted.", "B"
"BinarySearch", "The concept of Binary Search can be extended to search in a 2D sorted matrix. True or False?", "A. True (e.g., search each row, or use a specific 2D search algorithm that leverages sortedness).", "B. False", "A"
"BinarySearch", "What is the key property of the search space that enables Binary Search?", "A. Random distribution of elements.", "B. Monotonicity (either strictly increasing or strictly decreasing).", "C. Presence of duplicates.", "D. Small size.", "B"
"BinarySearch", "In a scenario where `low <= high` is the loop condition, and `array[mid] < target`, the `low` pointer typically moves to `mid + 1`. True or False?", "A. True", "B. False", "A"
"BinarySearch", "If the array is sorted in descending order, how would the comparison logic in Binary Search change?", "A. `if array[mid] < target` then search left, `if array[mid] > target` then search right.", "B. `if array[mid] < target` then search right, `if array[mid] > target` then search left.", "C. No change, it works the same.", "D. It cannot work for descending order.", "B"
"BinarySearch", "What is the typical base case for a recursive Binary Search?", "A. When `start > end` (element not found).", "B. When `start == end`.", "C. When the array is empty.", "D. When `mid == target`.", "A"
"BinarySearch", "The process of repeatedly halving the search space is what gives Binary Search its logarithmic time complexity. True or False?", "A. True", "B. False", "A"
"BinarySearch", "Binary Search can be used to solve the 'peak element' problem in an array (where an element is greater than its neighbors). True or False?", "A. True (if the array has a specific structure that allows for monotonic behavior).", "B. False", "A"
"BinarySearch", "If `array[mid] == target`, and you need to find *any* occurrence, what is the best course of action?", "A. Return `mid` immediately.", "B. Continue searching to the left.", "C. Continue searching to the right.", "D. Throw an exception.", "A"
"BinarySearch", "Binary Search is well-suited for scenarios where data is stored in a sequential access medium (like a tape drive). True or False?", "A. True", "B. False (random access is crucial for efficiency).", "B"
"BinarySearch", "What is the difference between `lower_bound` and `upper_bound` in C++ standard library?", "A. `lower_bound` finds the first element *equal to* target, `upper_bound` finds the first element *greater than or equal to* target.", "B. `lower_bound` finds the first element *not less than* target, `upper_bound` finds the first element *greater than* target.", "C. `lower_bound` finds the first element *greater than* target, `upper_bound` finds the first element *not less than* target.", "D. They are identical.", "B"
"BinarySearch", "In `lower_bound` scenarios, if `array[mid]` is less than `target`, what should happen to `start`?", "A. `start = mid`", "B. `start = mid + 1`", "C. `start = mid - 1`", "D. `end = mid`", "B"
"BinarySearch", "In `lower_bound` scenarios, if `array[mid]` is greater than or equal to `target`, what should happen to `end`?", "A. `end = mid` (as `mid` could be the answer).", "B. `end = mid - 1`", "C. `start = mid + 1`", "D. `start = mid`", "A"
"BinarySearch", "If the array contains `[1, 3, 5, 7, 9]` and you search for `4`, what index does a standard Binary Search (returning -1 if not found) typically return after termination?", "A. -1", "B. 2 (index where 4 would be inserted if low ends up after high)", "C. 1", "D. 3", "A"
"BinarySearch", "What type of problems are most effectively solved using 'Binary Search on the Answer'?", "A. Problems where the answer is an integer within a known range, and a monotonic check function exists.", "B. Problems involving string searching.", "C. Problems requiring graph traversal.", "D. Problems with very small input sizes.", "A"
"ClosestPair", "What is the primary objective of the Closest Pair of Points problem?", "A. To find two points that are farthest apart in a given set of points.", "B. To find two points with the minimum distance between them in a given set of points.", "C. To find the median point in a set of points.", "D. To find the centroid of a set of points.", "B"
"ClosestPair", "What is the brute-force time complexity to solve the Closest Pair of Points problem?", "A. O(N)", "B. O(N log N)", "C. O(N^2) (by checking all pairs of points).", "D. O(N^3)", "C"
"ClosestPair", "Which algorithmic paradigm is typically used to solve the Closest Pair of Points problem efficiently?", "A. Greedy Algorithm", "B. Dynamic Programming", "C. Divide and Conquer", "D. Backtracking", "C"
"ClosestPair", "What is the time complexity of the efficient Divide and Conquer algorithm for Closest Pair of Points?", "A. O(N^2)", "B. O(N log N)", "C. O(N log^2 N)", "D. O(N)", "B"
"ClosestPair", "The Divide and Conquer algorithm for Closest Pair of Points usually begins by sorting the points based on which coordinate?", "A. Only X-coordinate.", "B. Only Y-coordinate.", "C. Both X and Y coordinates (separately).", "D. Manhattan distance.", "A"
"ClosestPair", "After sorting by X-coordinate, the set of points is divided into two halves. This is the _______ step.", "A. Conquer", "B. Combine", "C. Divide", "D. Base Case", "C"
"ClosestPair", "What is done in the 'Conquer' step of the Closest Pair algorithm?", "A. Calculate distances between all pairs in the subproblems.", "B. Recursively find the closest pair in the left and right halves.", "C. Merge the sorted lists.", "D. Filter out points.", "B"
"ClosestPair", "After recursively finding the minimum distance `d` in the left half (`dL`) and right half (`dR`), what is the initial candidate for the overall minimum distance?", "A. `max(dL, dR)`", "B. `min(dL, dR)`", "C. `dL + dR`", "D. `0`", "B"
"ClosestPair", "The critical part of the 'Combine' step involves finding a pair of points (one from each half) that are closer than the current minimum `d`. Where must these points lie?", "A. Anywhere in the plane.", "B. Within a strip of width `d` centered on the dividing line.", "C. Within the left half only.", "D. Within the right half only.", "B"
"ClosestPair", "Why is it sufficient to consider points within a strip of width `d` on either side of the dividing line?", "A. Points outside this strip cannot be closer than `d`.", "B. It simplifies the algorithm.", "C. It reduces the number of points to 7.", "D. It's a heuristic, not a guarantee.", "A"
"ClosestPair", "After selecting points within the `d`-width strip, these points are then sorted based on which coordinate?", "A. X-coordinate.", "B. Y-coordinate.", "C. Z-coordinate.", "D. Distance from the origin.", "B"
"ClosestPair", "When iterating through the Y-sorted points in the strip, for each point `P`, how many subsequent points (approximately) do we need to check to find a potential closer pair?", "A. All remaining points in the strip.", "B. Only the next point.", "C. A constant number (e.g., 7 or 8 points) because points outside a certain bounding box cannot be closer than `d`.", "D. N/2 points.", "C"
"ClosestPair", "The reason we only need to check a constant number of points in the Y-sorted strip is related to:", "A. The Pigeonhole Principle and the geometric properties of a square with side `d`.", "B. Randomization.", "C. Hashing.", "D. Binary search.", "A"
"ClosestPair", "What is the recurrence relation for the Closest Pair of Points algorithm's time complexity?", "A. T(N) = T(N-1) + O(N)", "B. T(N) = 2T(N/2) + O(N)", "C. T(N) = 2T(N/2) + O(1)", "D. T(N) = T(N/2) + O(N log N)", "B"
"ClosestPair", "The `O(N)` term in the recurrence relation `T(N) = 2T(N/2) + O(N)` primarily comes from which step?", "A. Sorting points by X-coordinate initially.", "B. The recursive calls.", "C. The merge-like step for points within the strip (which involves sorting by Y and then linear scan).", "D. The base case.", "C"
"ClosestPair", "What is the base case for the Closest Pair of Points recursion?", "A. When the number of points is 0.", "B. When the number of points is 1.", "C. When the number of points is 2 or 3 (direct calculation).", "D. When the number of points is N/2.", "C"
"ClosestPair", "If the initial sorting by X-coordinate takes O(N log N), and the recursive calls take T(N) = 2T(N/2) + O(N), what is the overall time complexity?", "A. O(N)", "B. O(N log N)", "C. O(N^2)", "D. O(N log^2 N)", "B"
"ClosestPair", "If we re-sort the points by Y-coordinate in the 'Combine' step for the strip, what would be the total time complexity?", "A. O(N log N)", "B. O(N log^2 N) (because of repeated N log N sorting in each level of recursion).", "C. O(N^2)", "D. O(N)", "B"
"ClosestPair", "To achieve O(N log N) overall, how is the Y-sorted list for the strip efficiently maintained or generated without re-sorting each time?", "A. By hashing points.", "B. By using a data structure that maintains sorted order (e.g., balanced BST).", "C. By merging the two Y-sorted sub-lists during the combine step, similar to Merge Sort.", "D. By ignoring Y-coordinates.", "C"
"ClosestPair", "What is the space complexity of the efficient Closest Pair algorithm?", "A. O(1)", "B. O(log N) (for recursion stack).", "C. O(N) (for auxiliary arrays in merge-like operations).", "D. O(N^2)", "C"
"ClosestPair", "Can the Closest Pair algorithm handle duplicate points?", "A. No, it requires unique points.", "B. Yes, if distance is 0, it means duplicate points are found.", "C. Only if duplicates are ignored.", "D. It depends on the sorting implementation.", "B"
"ClosestPair", "The Closest Pair algorithm is a good example of how a problem can be solved more efficiently by leveraging which property of the input?", "A. Randomness.", "B. Sortedness.", "C. Sparsity.", "D. Density.", "B"
"ClosestPair", "If the points are in 3D space, can the Closest Pair algorithm (Divide and Conquer) be extended?", "A. No, it only works for 2D.", "B. Yes, with increased complexity (e.g., O(N log^2 N) or O(N log N) with more complex data structures).", "C. Yes, it remains O(N log N) without changes.", "D. Only if points are on a plane.", "B"
"ClosestPair", "What is the Euclidean distance formula between two points `(x1, y1)` and `(x2, y2)`?", "A. `|x1 - x2| + |y1 - y2|`", "B. `sqrt((x1 - x2)^2 + (y1 - y2)^2)`", "C. `max(|x1 - x2|, |y1 - y2|)`", "D. `(x1 - x2)^2 + (y1 - y2)^2`", "B"
"ClosestPair", "Why is it important to use `long double` or `double` for distance calculations to maintain precision?", "A. Integers are not large enough for coordinates.", "B. Floating-point numbers are faster.", "C. Square roots and distances can result in non-integer values, and precision is critical for comparison.", "D. It's a stylistic choice.", "C"
"ClosestPair", "Consider a set of points already sorted by X-coordinate. If the closest pair happens to be across the dividing line, and their distance is `d_min`, then both points must be within `d_min` distance from the dividing line. True or False?", "A. True", "B. False", "A"
"ClosestPair", "The constant factor (e.g., 7 or 8) for checking points in the strip arises from the fact that no more than a certain number of points can fit into a `d x 2d` (or `2d x d`) rectangle without violating the `d` minimum distance found so far. True or False?", "A. True", "B. False", "A"
"ClosestPair", "If all points are collinear (e.g., lie on a straight line), what is the time complexity of finding the closest pair using the D&C algorithm?", "A. O(N^2)", "B. O(N log N)", "C. O(N) (after initial sort, just a single pass).", "D. O(log N)", "C"
"ClosestPair", "What is the expected behavior of the Closest Pair algorithm if all points are identical?", "A. It will find a distance of 0.", "B. It will loop infinitely.", "C. It will return an error.", "D. It will sort them.", "A"
"ClosestPair", "Which common algorithm's merge step is analogous to the 'Combine' step in Closest Pair, particularly for maintaining Y-sorted lists?", "A. Quick Sort", "B. Bubble Sort", "C. Merge Sort", "D. Insertion Sort", "C"
